Id,OverallQual,GrLivArea,GarageCars,TotRmsAbvGrd,YearBuilt,KitchenQual,ExterQual
2,6,1262,2,6,1976,3,3
3,7,1786,2,6,2001,2,2
5,8,2198,3,9,2000,2,2
6,5,1362,2,5,1993,3,3
10,5,1077,1,5,1939,3,3
15,6,1253,1,5,1960,3,3
19,5,1114,2,6,2004,2,3
20,5,1339,1,6,1958,3,3
28,8,1704,3,7,2007,2,2
30,4,520,1,4,1927,1,3
32,5,1228,1,6,1966,2,3
35,9,1561,2,6,2005,0,0
40,4,1152,0,6,1955,1,3
46,9,1752,2,6,2005,0,0
48,8,1656,3,7,2006,2,2
53,5,816,2,5,1963,3,1
54,9,1842,3,5,1981,2,2
55,5,1360,2,6,1955,3,3
56,6,1425,2,7,1964,3,3
57,8,1739,2,7,1999,2,2
59,10,2945,3,10,2006,2,0
62,5,1111,1,6,1920,1,3
81,6,2142,1,8,1968,2,3
86,8,2417,2,9,1991,2,2
90,4,990,0,5,1994,3,3
97,7,1588,2,6,1999,2,2
108,5,789,1,5,1948,3,3
109,5,1517,0,7,1919,1,3
114,6,2259,2,7,1953,2,3
123,6,1080,1,5,1958,3,3
125,6,1586,2,7,1979,3,3
141,4,864,0,5,1971,3,3
142,7,1734,2,7,2005,2,2
143,5,1385,2,6,1952,3,3
149,7,1080,0,6,2004,2,3
153,6,1993,2,8,1971,3,3
160,7,2462,2,9,2005,2,2
162,9,2668,3,10,2003,0,2
176,6,2158,2,7,1950,2,3
183,5,1340,1,7,1957,3,3
185,5,1252,2,5,1908,3,3
193,7,1431,2,6,1999,2,2
199,6,2229,0,8,1912,3,3
203,6,1310,1,6,1924,3,3
205,5,1284,1,5,1947,3,3
212,6,1212,2,6,2009,2,3
216,5,1236,1,6,1957,2,3
224,4,864,2,4,1971,3,3
225,10,2392,3,8,2003,0,0
228,6,987,1,5,1970,3,3
232,8,2794,3,9,1995,0,2
234,5,894,1,5,1976,3,3
242,5,866,0,4,1945,2,3
254,6,1302,1,7,1964,2,3
255,5,1314,1,5,1957,3,3
261,6,1382,2,6,1962,3,3
269,5,778,1,4,1940,3,3
271,8,1939,3,8,2006,2,2
279,9,2121,3,8,2006,0,0
280,7,2022,2,8,1977,3,3
296,6,1003,2,6,1984,3,3
299,6,1743,2,7,1968,3,2
300,6,1152,1,6,1950,2,3
304,5,894,2,5,1972,3,3
309,4,861,2,4,1940,3,3
311,6,1501,2,6,1993,2,3
313,5,1118,2,5,1939,3,3
316,7,1432,2,6,2004,2,2
318,8,1959,3,8,2006,2,2
320,7,1472,2,6,1980,3,3
323,7,2730,2,8,1986,2,2
327,8,1719,2,6,1993,2,2
331,5,1728,1,10,1964,3,3
334,7,1358,2,6,2004,2,2
343,3,1040,2,6,1949,3,3
348,6,1478,2,6,1960,3,3
354,6,720,2,5,1928,3,3
361,6,912,2,5,1978,3,3
362,5,1505,1,8,1940,3,3
363,7,1922,2,7,2003,2,2
365,6,1574,2,6,1976,3,3
377,5,914,2,5,1996,3,2
