Id,SalePrice,OverallQual,GrLivArea,GarageCars,TotRmsAbvGrd,YearBuilt,KitchenQual,ExterQual
1,208500,7,1710,2,8,2003,2,2
4,140000,7,1717,3,7,1915,2,3
7,307000,8,1694,2,7,2004,2,2
8,200000,7,2090,2,7,1973,3,3
9,129900,7,1774,2,8,1931,3,3
11,129500,5,1040,1,5,1965,3,3
12,345000,9,2324,3,11,2005,0,0
13,144000,5,912,1,4,1962,3,3
14,279500,7,1494,3,7,2006,2,2
16,132000,7,854,2,5,1929,3,3
17,149000,6,1004,2,5,1970,3,3
18,90000,4,1296,2,6,1967,3,3
21,325300,8,2376,3,9,2005,2,2
22,139400,7,1108,1,6,1930,2,3
23,230000,8,1795,2,7,2002,2,2
24,129900,5,1060,2,6,1976,3,3
25,154000,5,1060,1,6,1968,2,3
26,256300,8,1600,3,7,2007,2,2
27,134800,5,900,2,5,1951,2,3
29,207500,5,1600,1,6,1957,3,3
31,40000,4,1317,1,6,1920,3,3
33,179900,8,1234,2,7,2007,2,2
34,165500,5,1700,2,6,1959,2,3
36,309000,8,2452,3,9,2004,2,2
37,145000,5,1097,2,6,1994,3,3
38,153000,5,1297,2,5,1954,3,3
39,109000,5,1057,1,5,1953,2,3
41,160000,6,1324,2,6,1965,3,3
42,170000,5,1328,1,5,1959,3,3
43,144000,5,884,2,5,1983,2,3
44,130250,5,938,1,5,1975,3,3
45,141000,5,1150,1,6,1959,3,3
47,239686,7,2149,2,6,2003,2,2
49,113000,4,1452,0,8,1920,3,3
50,127000,5,955,1,6,1966,3,3
51,177000,6,1470,2,6,1997,3,3
52,114500,6,1176,2,6,1934,3,3
58,196500,7,1720,2,7,2004,2,2
60,124900,5,780,1,4,1972,3,3
61,158000,6,1158,2,5,2004,2,3
63,202500,8,1370,2,6,2006,2,2
64,140000,7,1710,2,9,1921,3,3
65,219500,7,2034,2,8,1997,2,3
66,317000,8,2473,3,9,2004,2,2
67,180000,7,2207,2,7,1970,3,3
68,226000,7,1479,2,7,2003,2,2
69,80000,4,747,1,4,1945,3,3
70,225000,7,2287,2,7,1953,3,2
71,244000,7,2223,2,8,1973,3,3
72,129500,4,845,2,4,1982,3,3
73,185000,7,1718,2,7,1998,3,3
74,144900,5,1086,2,6,1954,3,3
75,107400,3,1605,1,8,1915,3,2
76,91000,4,988,1,5,1973,3,3
77,135750,4,952,1,4,1956,3,3
78,127000,5,1285,1,6,1948,3,3
79,136500,4,1768,0,8,1968,3,3
80,110000,5,1230,2,5,1910,3,3
82,153500,6,1337,2,5,1998,3,3
83,245000,8,1563,3,6,2007,2,3
84,126500,5,1065,2,6,1960,3,3
85,168500,7,1474,2,7,1995,3,3
87,174000,6,1560,2,6,2005,2,2
88,164500,6,1224,2,4,2009,2,2
89,85000,3,1526,0,6,1915,1,1
91,109900,4,1040,2,4,1950,3,3
92,98600,5,1235,2,6,1961,3,3
93,163500,5,964,2,5,1921,3,3
94,133900,6,2291,2,9,1910,3,3
95,204750,6,1786,2,7,1997,2,3
96,185000,6,1470,2,6,1993,3,0
98,94750,4,960,1,6,1965,3,3
99,83000,5,835,1,5,1920,3,3
100,128950,4,1225,0,6,1959,3,3
101,205000,6,1610,2,6,1977,2,3
102,178000,6,1732,2,7,1985,2,2
103,118964,5,1535,2,8,1979,3,3
104,198900,7,1226,3,6,2009,2,3
105,169500,7,1818,1,7,1931,3,3
106,250000,8,1992,2,9,2003,2,2
107,100000,4,1047,1,6,1885,3,3
110,190000,6,1844,2,7,1977,3,3
111,136900,6,1855,1,7,1954,3,3
112,180000,7,1430,2,7,2000,3,3
113,383970,7,2696,3,10,2007,0,2
115,259500,6,2320,1,9,1945,2,3
116,176000,6,1458,2,5,1999,3,3
117,139000,5,1092,1,6,1962,3,3
118,155000,5,1125,2,5,2006,3,3
119,320000,7,3222,3,11,1990,2,3
120,163990,6,1456,2,8,2005,2,2
121,180000,6,988,2,4,1969,3,3
122,100000,4,1123,1,4,1939,3,3
124,153900,6,1199,2,5,1993,2,2
126,84500,6,754,0,5,1935,3,3
127,128000,6,958,2,5,1976,3,3
128,87000,5,840,0,5,1930,3,3
129,155000,6,1348,2,6,1966,3,3
130,150000,5,1053,2,6,1958,0,3
131,226000,7,2157,2,8,1966,2,3
132,244000,6,2054,2,7,2000,2,2
133,150750,5,1327,2,7,1959,2,3
134,220000,8,1296,2,6,2001,2,2
135,180000,5,1721,2,7,1968,3,3
136,174000,7,1682,2,7,1970,3,3
137,143000,5,1214,1,5,1967,3,3
138,171000,7,1959,3,9,1988,3,3
139,230000,8,1852,3,7,1999,2,2
140,231500,6,1764,2,7,1997,2,3
144,204000,7,1501,2,6,1999,2,2
145,125000,5,1728,2,10,1963,3,3
146,130000,6,1709,2,7,2004,2,2
147,105000,5,875,1,5,1931,3,3
148,222500,7,2035,2,8,2001,2,2
150,115000,5,1344,1,7,1936,3,3
151,122000,5,969,2,5,1975,3,3
152,372402,8,1710,3,6,2007,2,2
154,235000,6,1252,2,4,1960,3,3
155,125000,6,1200,1,7,1923,3,3
156,79000,6,1096,0,5,1924,3,3
157,109500,5,1040,2,5,1950,3,3
158,269500,8,1968,3,8,2009,0,2
159,254900,7,1947,2,8,2004,2,2
161,162500,6,1232,2,6,1984,3,3
163,220000,7,1541,2,7,2005,2,2
164,103200,4,882,0,4,1956,3,3
165,152000,6,1616,1,5,1926,2,3
166,127500,5,1355,0,6,1940,3,3
167,190000,5,1867,1,7,1955,3,2
168,325624,8,2161,3,8,2007,0,2
169,183500,7,1720,2,7,2004,2,2
170,228000,8,1707,2,6,1981,3,2
171,128500,5,1382,2,7,1941,3,3
172,215000,6,1656,2,7,1960,3,3
173,239000,7,1767,2,5,1987,2,2
174,163000,6,1362,2,6,1961,3,3
175,184000,6,1651,2,7,1986,3,3
177,211000,6,2060,2,8,1988,3,2
178,172500,5,1920,2,8,1958,2,2
179,501837,9,2234,3,9,2008,0,0
180,100000,5,968,2,5,1923,3,2
181,177000,6,1525,2,5,2000,2,2
182,200100,7,1802,1,9,1920,3,3
184,200000,7,2082,2,6,2003,2,3
186,475000,10,3608,3,12,1892,0,2
