PassengerId,Survived,Sex,Pclass,Fare
1,0,0,3,7.25
3,1,1,3,7.925
4,1,1,1,53.1
5,0,0,3,8.05
7,0,0,1,51.8625
8,0,0,3,21.075
10,1,1,2,30.0708
11,1,1,3,16.7
12,1,1,1,26.55
13,0,0,3,8.05
14,0,0,3,31.275
16,1,1,2,16.0
17,0,0,3,29.125
18,1,0,2,13.0
19,0,1,3,18.0
20,1,1,3,7.225
21,0,0,2,26.0
22,1,0,2,13.0
23,1,1,3,8.0292
24,1,0,1,35.5
25,0,1,3,21.075
26,1,1,3,31.3875
27,0,0,3,7.225
29,1,1,3,7.8792
30,0,0,3,7.8958
33,1,1,3,7.75
34,0,0,2,10.5
36,0,0,1,52.0
37,1,0,3,7.2292
39,0,1,3,18.0
40,1,1,3,11.2417
42,0,1,2,21.0
43,0,0,3,7.8958
44,1,1,2,41.5792
45,1,1,3,7.8792
46,0,0,3,8.05
47,0,0,3,15.5
48,1,1,3,7.75
49,0,0,3,21.6792
50,0,1,3,17.8
51,0,0,3,39.6875
52,0,0,3,7.8
53,1,1,1,76.7292
54,1,1,2,26.0
55,0,0,1,61.9792
57,1,1,2,10.5
58,0,0,3,7.2292
59,1,1,2,27.75
60,0,0,3,46.9
62,1,1,1,80.0
64,0,0,3,27.9
65,0,0,1,27.7208
66,1,0,3,15.2458
67,1,1,2,10.5
68,0,0,3,8.1583
69,1,1,3,7.925
70,0,0,3,8.6625
71,0,0,2,10.5
72,0,1,3,46.9
73,0,0,2,73.5
74,0,0,3,14.4542
75,1,0,3,56.4958
77,0,0,3,7.8958
79,1,0,2,29.0
81,0,0,3,9.0
82,1,0,3,9.5
83,1,1,3,7.7875
84,0,0,1,47.1
85,1,1,2,10.5
87,0,0,3,34.375
88,0,0,3,8.05
89,1,1,1,263.0
90,0,0,3,8.05
91,0,0,3,8.05
92,0,0,3,7.8542
93,0,0,1,61.175
94,0,0,3,20.575
95,0,0,3,7.25
96,0,0,3,8.05
97,0,0,1,34.6542
99,1,1,2,23.0
100,0,0,2,26.0
101,0,1,3,7.8958
103,0,0,1,77.2875
105,0,0,3,7.925
106,0,0,3,7.8958
107,1,1,3,7.65
108,1,0,3,7.775
109,0,0,3,7.8958
110,1,1,3,24.15
111,0,0,1,52.0
112,0,1,3,14.4542
113,0,0,3,8.05
115,0,1,3,14.4583
116,0,0,3,7.925
117,0,0,3,7.75
118,0,0,2,21.0
119,0,0,1,247.5208
120,0,1,3,31.275
121,0,0,2,73.5
122,0,0,3,8.05
123,0,0,2,30.0708
124,1,1,2,13.0
125,0,0,1,77.2875
